Lines,Lon,VehicleNumber,Time,Lat,Brigade,download_id
7,21.05919,3141,2024-01-22 20:42:55,52.25826,1,1
3,21.046104,3142,2024-01-22 20:42:55,52.248302,09,1
9,21.073763,3143,2024-01-22 20:42:55,52.24272,023,1
28,20.971003,3148,2024-01-22 15:44:32,52.231663,8,1
17,21.000006,3149,2024-01-22 20:42:57,52.206142,7,1
1,20.982008,3150,2024-01-22 20:42:58,52.209747,011,1
24,20.931606,3151,2024-01-22 07:17:56,52.29918,3,1
2,20.932386,3152,2024-01-22 14:33:17,52.300133,021,1
33,20.933502,3153,2024-01-22 20:42:54,52.27842,1,1
1,20.971268,3155,2024-01-22 20:42:55,52.23251,8,1
7,20.943869,3156,2024-01-22 20:42:54,52.175972,4,1
9,20.94709,3157,2024-01-22 20:42:55,52.17914,13,1
3,21.032661,3158,2024-01-22 20:42:54,52.28535,3,1
7,21.04762,3159,2024-01-22 20:42:55,52.246098,2,1
9,21.05311,3160,2024-01-22 19:14:33,52.255882,2,1
3,21.05469,3161,2024-01-22 20:00:19,52.255966,1,1
1,20.931068,3162,2024-01-22 19:15:05,52.29932,4,1
4,21.014843,3163,2024-01-22 20:42:57,52.22459,5,1
24,20.931072,3165,2024-01-22 19:37:08,52.299038,012,1
24,21.054823,3166,2024-01-22 20:42:57,52.255787,011,1
1,20.973158,3167,2024-01-22 11:12:35,52.232197,8,1
33,20.930298,3168,2024-01-22 19:31:03,52.298622,2,1
33,20.993603,3169,2024-01-22 20:42:56,52.241905,017,1
33,20.930628,3170,2024-01-22 20:21:35,52.298794,3,1
1,20.999485,3171,2024-01-22 20:42:59,52.258648,3,1
1,20.930716,3172,2024-01-22 19:15:23,52.299175,22,1
23,20.92483,3173,2024-01-22 20:42:53,52.260155,3,1
1,21.026093,3174,2024-01-22 20:42:53,52.280712,2,1
9,21.05503,3176,2024-01-22 20:42:57,52.25635,9,1
33,20.931223,3177,2024-01-22 19:44:08,52.29939,019,1
17,20.961292,3178,2024-01-22 20:42:58,52.311417,4,1
35,20.943857,3179,2024-01-22 20:42:57,52.27133,2,1
6,21.103258,3180,2024-01-22 20:42:57,52.242268,1,1
35,20.94396,3182,2024-01-22 20:42:56,52.27133,1,1
23,20.972078,3183,2024-01-22 19:10:22,52.231724,4,1
1,20.983637,3184,2024-01-22 20:42:58,52.25493,012,1
24,20.964188,3187,2024-01-22 20:42:57,52.245327,4,1
24,20.971647,3188,2024-01-22 18:59:40,52.231743,8,1
6,20.92987,3189,2024-01-22 20:42:58,52.29208,5,1
4,20.930243,3190,2024-01-22 20:42:54,52.298676,2,1
24,20.924885,3192,2024-01-22 20:42:56,52.26016,5,1
35,20.982101,3193,2024-01-22 20:42:59,52.217403,5,1
22,20.973583,3194,2024-01-22 20:02:06,52.232178,4,1
1,21.021908,3195,2024-01-22 20:42:57,52.298515,010,1
4,21.012531,3196,2024-01-22 20:42:56,52.31102,3,1
33,20.938068,3197,2024-01-22 20:42:55,52.27549,5,1
33,20.930166,3199,2024-01-19 07:17:26,52.2994,15,1
1,20.931477,3200,2024-01-22 19:23:41,52.29929,6,1
33,20.993618,3201,2024-01-22 20:42:55,52.241856,020,1
3,21.101631,3203,2024-01-22 20:42:57,52.24263,5,1
22,21.001987,3204,2024-01-22 20:42:57,52.227745,5,1
22,21.053326,3206,2024-01-22 19:56:57,52.255615,9,1
24,21.053345,3207,2024-01-22 18:48:08,52.255703,3,1
7,21.054663,3208,2024-01-22 20:19:27,52.256176,3,1
25,21.011139,3209,2024-01-22 20:42:54,52.229687,5,1
20,21.05541,3210,2024-01-21 16:13:16,52.256096,6,1
25,21.05375,3211,2024-01-22 19:22:50,52.255703,7,1
9,20.943808,3212,2024-01-22 20:42:56,52.176094,14,1
35,20.982222,3213,2024-01-22 20:42:56,52.25524,1,1
24,21.037317,3214,2024-01-22 20:42:56,52.235176,2,1
28,20.934015,3215,2024-01-22 20:42:55,52.27126,9,1
1,21.026672,3217,2024-01-22 20:42:57,52.279514,25,1
2,20.930845,3218,2024-01-22 18:53:11,52.299458,023,1
2,20.931026,3219,2024-01-22 18:41:27,52.299503,024,1
2,20.931173,3220,2024-01-22 18:35:34,52.29985,021,1
1,21.036964,3221,2024-01-22 20:42:56,52.269073,23,1
9,20.999815,3222,2024-01-22 17:50:39,52.18591,024,1
17,21.004908,3223,2024-01-22 20:42:56,52.21986,23,1
18,20.998549,3224,2024-01-22 20:20:19,52.186672,013,1
18,21.002384,3225,2024-01-22 20:43:00,52.290615,8,1
1,20.93099,3226,2024-01-22 13:17:25,52.298725,011,1
